ID,code,parameter,analyzed_material_1,analyzed_material_2,sample_preparation,chemical_treatment,technique,laboratory,analyst,number_of_replicates,instrument,date,comment,detection_limit,detection_limit_unit,total_procedural_blank_value,total_procedural_unit
charleux2014b_fe2o3,charleux2014_B,Fe2O3,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_cao,charleux2014_B,CaO,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_mno,charleux2014_B,MnO,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_k2o,charleux2014_B,K2O,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_v,charleux2014_B,V,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_cr,charleux2014_B,Cr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_ni,charleux2014_B,Ni,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_cu,charleux2014_B,Cu,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_zn,charleux2014_B,Zn,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_rb,charleux2014_B,Rb,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_sr,charleux2014_B,Sr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_y,charleux2014_B,Y,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_zr,charleux2014_B,Zr,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_nb,charleux2014_B,Nb,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014b_pb,charleux2014_B,Pb,Whole rock,Sample surface,,,ED-XRF,University of Auckland,"McAlister, Andrew",,Innov-X Delta,2013.0,,,,,
charleux2014c_sio2,charleux2014_C,SiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_tio2,charleux2014_C,TiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_al2o3,charleux2014_C,Al2O3,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_fe2o3,charleux2014_C,Fe2O3,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_cao,charleux2014_C,CaO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_mgo,charleux2014_C,MgO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_mno,charleux2014_C,MnO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_k2o,charleux2014_C,K2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_na2o,charleux2014_C,Na2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_v,charleux2014_C,V,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_ni,charleux2014_C,Ni,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_cu,charleux2014_C,Cu,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_zn,charleux2014_C,Zn,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_rb,charleux2014_C,Rb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_sr,charleux2014_C,Sr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_y,charleux2014_C,Y,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_zr,charleux2014_C,Zr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_nb,charleux2014_C,Nb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_ba,charleux2014_C,Ba,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
charleux2014c_pb,charleux2014_C,Pb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX,2013.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
clark2014a_ti,clark2014_A,Ti,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_mn,clark2014_A,Mn,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_fe,clark2014_A,Fe,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_rb,clark2014_A,Rb,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_sr,clark2014_A,Sr,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_y,clark2014_A,Y,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_zr,clark2014_A,Zr,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014a_nb,clark2014_A,Nb,Whole rock,Sample surface,,,ED-XRF,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,Bruker Tracer III-V,,,,,,
clark2014c_sio2,clark2014_C,SiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_tio2,clark2014_C,TiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_al2o3,clark2014_C,Al2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_fe2o3,clark2014_C,Fe2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_cao,clark2014_C,CaO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_mgo,clark2014_C,MgO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_mno,clark2014_C,MnO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_k2o,clark2014_C,K2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014c_na2o,clark2014_C,Na2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,SEM-EDS,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,JEOL JSM6400,,,,,,
clark2014d_ca,clark2014_D,Ca,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_sc,clark2014_D,Sc,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_ti,clark2014_D,Ti,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_v,clark2014_D,V,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_cr,clark2014_D,Cr,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_mn,clark2014_D,Mn,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_ni,clark2014_D,Ni,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_cu,clark2014_D,Cu,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_zn,clark2014_D,Zn,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_ga,clark2014_D,Ga,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_as,clark2014_D,As,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_rb,clark2014_D,Rb,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_sr,clark2014_D,Sr,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_y,clark2014_D,Y,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_zr,clark2014_D,Zr,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_nb,clark2014_D,Nb,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_mo,clark2014_D,Mo,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_sn,clark2014_D,Sn,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_cs,clark2014_D,Cs,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_ba,clark2014_D,Ba,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_la,clark2014_D,La,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_ce,clark2014_D,Ce,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_pr,clark2014_D,Pr,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_nd,clark2014_D,Nd,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_sm,clark2014_D,Sm,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
clark2014d_eu,clark2014_D,Eu,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,LA-ICP-MS,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,Agilent 7500S,,,,,,
