Data source,,,,,,,,,,,,,,,
DATA SOURCE,,,,,,,CITATION 1 - DATA,,,CITATION 2 - ARTEFACT,,,CITATION 3 - SITE,,
Dataset ID,Title,Abstract,Authors(s),Institution of the author,Creator,Contact info,Source ID 1,Complete reference 1,DOI 1,Source ID 2,Complete reference 2,DOI 2,Source ID 3,Complete reference 3,DOI 3
collerson2007,,,,,,,,,,mccoy1977,"McCoy, P. C. The Mauna Kea Adze Quarry Project: A Summary of the 1975 Field Investigations. Journal of the Polynesian Society 86, 223–244 (1977).",,mccoy1977,"McCoy, P. C. The Mauna Kea Adze Quarry Project: A Summary of the 1975 Field Investigations. Journal of the Polynesian Society 86, 223–244 (1977).",
collerson2007,,,,,,,,,,leach1987,"Leach, H. & Witter, D. Tataga-Matau “rediscovered”. New Zealand Journal of Archaeology 9, 33–54 (1987).",,leach1987,"Leach, H. & Witter, D. Tataga-Matau “rediscovered”. New Zealand Journal of Archaeology 9, 33–54 (1987).",
collerson2007,,,,,,,,,,johnson2013,"Johnson, P. R. Elemental Analysis of Fine-Grained Basalt Sources from the Samoan Island of Tutuila: Applications of Energy Dispersive X-Ray Fluorescence (EDXRF) and Instrumental Neutron Activation Analysis (INAA) Toward an Intra-Island Provenance Study. in X-Ray Fluorescence Spectrometry (XRF) in Geoarchaeology (ed. Shackley, M. S.) 143–160 (Springer New York, 2011). doi:10.1007/978-1-4419-6886-9_7",https://doi.org/10.1007/978-1-4419-6886-9_7,johnson2013,"Johnson, P. R. Elemental Analysis of Fine-Grained Basalt Sources from the Samoan Island of Tutuila: Applications of Energy Dispersive X-Ray Fluorescence (EDXRF) and Instrumental Neutron Activation Analysis (INAA) Toward an Intra-Island Provenance Study. in X-Ray Fluorescence Spectrometry (XRF) in Geoarchaeology (ed. Shackley, M. S.) 143–160 (Springer New York, 2011). doi:10.1007/978-1-4419-6886-9_7",https://doi.org/10.1007/978-1-4419-6886-9_7
collerson2007,,,,,,,,,,,,,moore1996,"Moore, J. R. & Kennedy, J. Archaeological Resources on Lau’agae Ridge:A Phase II Cultural Resource Evaluation of Site AS-21-100 (the Lau’agae Ridge Quarry), for Phase III of the Onenoa Road Project Located in East Vaifanua County, Tutuila Island, American Samoa. (1996).",
collerson2007,,,,,,,,,,turner1994,"Turner, M. & Bonica, D. Following the Flake Trail: Adze production on the Coromandel East Coast, New Zealand. New Zealand Journal of Archaeology 16, 5–32 (1994).",,turner1994,"Turner, M. & Bonica, D. Following the Flake Trail: Adze production on the Coromandel East Coast, New Zealand. New Zealand Journal of Archaeology 16, 5–32 (1994).",
fankhauser2009,"Geochemical characterisation and sourcing of lithic artefacts (adzes and flakes) found in excavations conducted in 1996 and 1997 on Beqa Island, Mago Island and Viti Levu.","Geochemical characterisation and sourcing of lithic artefacts (adzes and flakes) found in excavations conducted in 1996 and 1997 on Beqa Island, Mago Island and Viti Levu. Energy dispersive X-Ray analysis (EDXRF) was used for the major elements and inductively coupled plasma-mass spectrometry (ICP-MS) for the trace elements.","Fankhauser, B., Clark, G., Anderson, A.",The Australian National University (Australia),"Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,fankhauser2009,"Fankhauser, B., Clark, G. & Anderson, A. Characterisation and sourcing of archaeological adzes and flakes from Fiji. in The Early Prehistory of Fiji Terra Australis 31, 373–406 (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009,fankhauser2009,"Fankhauser, B., Clark, G. & Anderson, A. Characterisation and sourcing of archaeological adzes and flakes from Fiji. in The Early Prehistory of Fiji Terra Australis 31, 373–406 (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009,clark2009,"The Early Prehistory of Fiji. Terra Australis 31, (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009
fankhauser2009,,,,,,,,,,,,,clark2001,"Clark, G. Archaeological and palaeoenvironmental investigations on Yacata Island, northern Lau, Fiji. Domodomo: Fiji Museum Quarterly 13, 29–47 (2001).",
hermann2017,"Sourcing of artefacts from the island of Tupua'i/Tubuai (Austral archipelago, French Polynesia), including from the well-dated site Atiahara.","Comprehensive geochemical analyses of 42 artefacts and 15 archaeological and geological sources on Tupua'i island (Austral archipelago, French Polynesia) using destructive techniques: ICP-AES for major and trace elements, TIMS and MC-ICP-MS for radiogrenic isotopes, Ar-Ar dating for geochronology. The first marquesan artefact in the Austral archipelago is identified.","Hermann A.(1) , Sauzéat L.(2) , Guillou H.(3) , Maury R.C.(4) , Chauvel C.(2), Liorzou C.(4)","1. Université de Polynésie Française (French Polynesia), 2. Université de Grenoble (France), 3. LSCE/IPSL,CEA-CNRS-UVSQ (France), 4. Université de Bretagne Occidentale (France).","Hermann, Aymeric",aymeric.hermann@cnrs.fr,hermann2017,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,hermann2017,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,hermann2016,"Hermann, A., Bollt, R. & Conte, E. The Atiahara site revisited: An early coastal settlement in Tubuai (Austral Islands, French Polynesia). Archaeology in Oceania 51, 31–44 (2016).",https://doi.org/10.1002/arco.5070
hermann2017,,,,,,,,,,hermann2013,"Hermann, A. Les industries lithiques pré-européennes de Polynésie centrale : savoir-faire et dynamiques techno-économiques. (Université de Polynésie Française, 2013).",,hermann2013,"Hermann, A. Les industries lithiques pré-européennes de Polynésie centrale : savoir-faire et dynamiques techno-économiques. (Université de Polynésie Française, 2013).",
hermann2017,,,,,,,,,,,,,weisler2016a,"Weisler, M. I. et al. Cook Island artifact geochemistry demonstrates spatial and temporal extent of pre-European interarchipelago voyaging in East Polynesia. PNAS 113, 8150–8155 (2016).",https://doi.org/10.1073/pnas.1608130113
hermann2017,,,,,,,,,,,,,hermann2012,"Hermann, A., Maury, R. C. & Liorzou, C. Traçabilité des matières premières lithiques dans les assemblages archéologiques polynésiens: le cas de Tubuai (Archipel des Australes, Polynésie française). Géologue 172, 80–83 (2012).",
hermann2017,,,,,,,,,,,,,maury2000,"Maury, R. C., Guille, G., Guillou, H., Blais, S. & Brousse, R. Notice explicative, feuille Rurutu et Tubuai, Polynésie française. (BRGM, 2000).",
kahn2008,"ED-XRF analysis of 45 source samples from the Nu'u basalt quarry (NUU-123) on Maui, Hawai'i",EDXRF analysis of the Nu'u quarry (NUU-123) on Mauia Island (Hawai'i),"Jennifer G. Kahn (1), Peter Mills (2), Steve Lundblad (3), John Holson (4), Patrick V. Kirch (5)","1. Bishop Museum (USA), 2. University of Hawai'i at Hilo (USA), 3. University of Hawai'i at Hilo (USA), 4. Pacific Legacy Inc. (USA), 5. University of California, Berkeley (USA)","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,kahn2008,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",,kahn2008,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",,kahn2008,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",
kahn2013,"Geochemical analyses to of artefacts from ’Opunohu Valley, Mo’orea, French Polynesia","EDXRF analysis of a few geological samples and a collection of ’Opunohu Valley lithic artifacts from Mo’orea island to investigate the local scale of raw material procurement, adze production, use, and exchange within the Society Island archipelago.","Jennifer G. Kahn (a), John Sinton (b), Peter R. Mills (c), Steven P. Lundblad (d)","a. College of William and Mary (USA), b. University of Hawai'i, Manoa (USA), c. University of Hawai'i, Hilo (USA), d. University of Hawai'i (USA)","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,kahn2013,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,kahn2013,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,kahn2013,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003
kahn2013,,,,,,,,,,,,,kahn2015,"Kahn, J. G. & Kirch, P. V. Monumentality and Ritual Materialization in the Society Islands: The Archaeology of a Major Ceremonial Complex in the ’Opunohu Valley, Mo’orea. (Bishop Museum Press, 2015).",
kahn2013,,,,,,,,,,,,,green1967,"Green, R. C., Green, K., Rappaport, R. A., Rappaport, A. & Davidson, J. M. Archeology on the island of Mo’orea, French Polynesia. (New York, 1967).",
kirch2012,"Sourcing of basaltic artefacts from Kahikinui valley (Maui island, Hawai'i)","ED-XRF analysis of 328 lithic artifacts from 36 archaeological features in the Kahikinui district, Maui Island. WD-XRF was used characterize certain nonlocal source groups.","Patrick V. Kirch (a), Peter R. Mills (b), Steven P. Lundblad (b), John Sinton (c), and Jennifer G. Kahn (d)","a. University of California, Berkeley (USA); b. University of Hawai'i at Hilo (USA); c. University of Hawai'i at Manoa (USA); d. Bishop Museum (USA)","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,kirch2012,"Kirch, P. V., Mills, P. R., Lundblad, S. P., Sinton, J. & Kahn, J. G. Interpolity exchange of basalt tools facilitated via elite control in Hawaiian archaic states. PNAS 109, 1056–1061 (2012).",https://doi.org/10.1073/pnas.1119009109,kirch1997a,"Kirch, P. V. Na mea kahiko no Kahikinui: Studies in the archaeology of Kahikinui, Maui. (University of California, 1997).",,kirch1997a,"Kirch, P. V. Na mea kahiko no Kahikinui: Studies in the archaeology of Kahikinui, Maui. (University of California, 1997).",
kirch2015,ED-XRF analyses of excavated artefacts from the Gambier Islands,Provenance analysis of adzes from a rock shelter on Agakauitai islet (site AGA-3) and 2 geological samples from Mount Duff on Mangareva island (Gambier group).,"Kirch, P.V. (1), Molle, G. (2), Nickelsen, C. (1), Mills, P. (3), Dotte‐Sarout, E. (4), Swift, J. (1), Wolfe, A. (1), Horrocks, M. (5)","1. University of California, Berkeley (USA); 2. Université de la Polynésie Française (French Polynesia); 3. University of Hawai’I at Hilo (USA); 4. University of Western Australia (USA); 5. Microfossil Research Ltd","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,kirch2015,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050,kirch2015,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050,kirch2015,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050
rolett2015,"Geochemical data from the Vitaria Adze Quarry, Rurutu, Austral Islands, and selected artefacts from the Austral Islands",WD-XRF analysis of the Vitaria Quarry raw material and ethnographic adzes collected on Raivavae,"Rolett, B.V. (a), West, E.W. (b), Sinton, J.M. (c), Iovita, R. (d)","a. University of Hawai'i at Manoa (USA); b. Naval Facilities Engineering Command Pacific, Pearl Harbor (USA); c. University of Hawai'i at Manoa (USA); d. MONREPOS (Germany)","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,rolett2015,"Rolett, B. V., West, E. W., Sinton, J. M. & Iovita, R. Ancient East Polynesian voyaging spheres: new evidence from the Vitaria Adze Quarry (Rurutu, Austral Islands). Journal of Archaeological Science 53, 459–471 (2015).",https://doi.org/10.1016/j.jas.2014.10.018,rolett2015,"Rolett, B. V., West, E. W., Sinton, J. M. & Iovita, R. Ancient East Polynesian voyaging spheres: new evidence from the Vitaria Adze Quarry (Rurutu, Austral Islands). Journal of Archaeological Science 53, 459–471 (2015).",https://doi.org/10.1016/j.jas.2014.10.018,,,
sheppard1997,Characterization of archaeological quarries and sourcing of artefacts in the Cook islands.,Major and trace element compositions are used to source artefacts to sources in the Cook islands.,"Sheppard P.J., Walter R., Parker R.J.",University of Auckland (New Zealand),"Hermann, Aymeric",aymeric.hermann@cnrs.fr,sheppard1997,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,sheppard1997,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,sheppard1997,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",
sheppard1997,,,,,,,,,,walter1990,"Walter, R. The Southern Cook Islands in Eastern Polynesian prehistory. (University of Auckland, 1990).",,walter1990,"Walter, R. The Southern Cook Islands in Eastern Polynesian prehistory. (University of Auckland, 1990).",
sheppard1997,,,,,,,,,,walter1998,"Walter, R. Anai’o: The Archaeology of a Fourteenth Century Polynesian Community in the Cook Islands. (New Zealand Archaeological Association, 1998).",,walter1998,"Walter, R. Anai’o: The Archaeology of a Fourteenth Century Polynesian Community in the Cook Islands. (New Zealand Archaeological Association, 1998).",
sheppard1997,,,,,,,,,,weisler1994a,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",,weisler1994a,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",
sheppard1997,,,,,,,,,,bellwood1978,"Bellwood, P. Archaeological Research in the Cook Islands. (B.P. Bishop Museum, 1978).",,bellwood1978,"Bellwood, P. Archaeological Research in the Cook Islands. (B.P. Bishop Museum, 1978).",
sheppard1997,,,,,,,,,,walter1996a,"Walter, R. & Sheppard, P. J. The Ngati Tiare Adze Cache: Further Evidence of Prehistoric Contact between West Polynesia and the Southern Cook Islands. Archaeology in Oceania 31, 33–39 (1996).",,walter1996a,"Walter, R. & Sheppard, P. J. The Ngati Tiare Adze Cache: Further Evidence of Prehistoric Contact between West Polynesia and the Southern Cook Islands. Archaeology in Oceania 31, 33–39 (1996).",
simpson2018a,Documentation and geochemistry of the Rua Tokitoki adze quarry and the Poike fine-grain basalt source on Rapa Nui (Easter Island),"Comprehensive characterization of Rapa Nui (Easter Island) basalts, mainly the Rua Tokitoki quarry and a fine‐grain basalt locality on Poike.","Simpson, D.F., Weisler, M.I., St Pierre, E.J., Feng, Y., Bolhar, R.",University of Queensland (Australia),"Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,simpson2018a,"Simpson, D. F., Weisler, M. I., St Pierre, E. J., Feng, Y. & Bolhar, R. The archaeological documentation and geochemistry of the Rua Tokitoki adze quarry and the Poike fine-grain basalt source on Rapa Nui (Easter Island): Rua Tokitoki quarry and Poike basalt source on Rapa Nui. Archaeology in Oceania 53, 15–27 (2018).",https://doi.org/10.1002/arco.5132,simpson2018a,"Simpson, D. F., Weisler, M. I., St Pierre, E. J., Feng, Y. & Bolhar, R. The archaeological documentation and geochemistry of the Rua Tokitoki adze quarry and the Poike fine-grain basalt source on Rapa Nui (Easter Island): Rua Tokitoki quarry and Poike basalt source on Rapa Nui. Archaeology in Oceania 53, 15–27 (2018).",https://doi.org/10.1002/arco.5132,simpson2018a,"Simpson, D. F., Weisler, M. I., St Pierre, E. J., Feng, Y. & Bolhar, R. The archaeological documentation and geochemistry of the Rua Tokitoki adze quarry and the Poike fine-grain basalt source on Rapa Nui (Easter Island): Rua Tokitoki quarry and Poike basalt source on Rapa Nui. Archaeology in Oceania 53, 15–27 (2018).",https://doi.org/10.1002/arco.5132
simpson2018a,,,,,,,,,,,,,metraux1940,"Métraux, A. Ethnology of Easter Island. (1940).",
simpson2018,Rapa Nui basalt geochemistry,"Geochemical analyses of Rapa Nui basalt source material from 31 quarries and 61 artifacts from the Sebastián Englert Anthropology Museum, using laser ablation–inductively coupled plasma–mass spectrometry (LA–ICP–MS)","Dale F. Simpson Jr. (a,b) & Laure Dussubieux (c)","a. University of Queensland (Australia), b. Field Museum of Natural History, Chicago (USA)","Hermann, Aymeric; McAlister, Andrew",aymeric.hermann@cnrs.fr; andrew.mcalister@auckland.ac.nz,simpson2018,"Simpson, D. F. & Dussubieux, L. A collapsed narrative? Geochemistry and spatial distribution of basalt quarries and fine–grained artifacts reveal communal use of stone on Rapa Nui (Easter Island). Journal of Archaeological Science: Reports 18, 370–385 (2018).",https://doi.org/10.1016/j.jasrep.2018.01.038,simpson2018,"Simpson, D. F. & Dussubieux, L. A collapsed narrative? Geochemistry and spatial distribution of basalt quarries and fine–grained artifacts reveal communal use of stone on Rapa Nui (Easter Island). Journal of Archaeological Science: Reports 18, 370–385 (2018).",https://doi.org/10.1016/j.jasrep.2018.01.038,simpson2018,"Simpson, D. F. & Dussubieux, L. A collapsed narrative? Geochemistry and spatial distribution of basalt quarries and fine–grained artifacts reveal communal use of stone on Rapa Nui (Easter Island). Journal of Archaeological Science: Reports 18, 370–385 (2018).",https://doi.org/10.1016/j.jasrep.2018.01.038
weisler1993b,"Provenance analysis of archaeological quarries and artefacts from islands of the Manu'a group (American Samoa): Ofu, Tutuila, and Ta'ū","Geological and archaeological sources were analysed using destructive XRF, and non-destructive EDXRF. Archaeological artefacts from Ta'ū and Ofu (To'aga site) were analysed using only non-destructive EDXRF.","Weisler, Marshall; P.R. Hooper",University of California Berkeley; Washington State University (USA),"Hermann, Aymeric",aymeric.hermann@cnrs.fr,weisler1993b,"Weisler, M. I. Chemical characterization and provenance of Manu’a adze material using a non-destructive X-ray fluorescence technique. in The To’aga Site: Three Millennia of Polynesian Occupation in the Manu’a Islands, American Samoa (eds. Kirch, P. V. & Hunt, T. L.) 167–186 (Archaeological Research Facility, University of California, Berkeley, 1993).",,kirch1993a,"Kirch, P. V. & Hunt, T. L. The To’aga Site: Three Millennia of Polynesian Occupation in the Manu’a Islands, American Samoa. (Archaeological Research Facility, University of California, Berkeley, 1993).",,kirch1993a,"Kirch, P. V. & Hunt, T. L. The To’aga Site: Three Millennia of Polynesian Occupation in the Manu’a Islands, American Samoa. (Archaeological Research Facility, University of California, Berkeley, 1993).",
weisler1993b,,,,,,,,,,hunt1988,"Hunt, T. L. & Kirch, P. V. An archaeological survey of the Manu’a islands, American Samoa. Journal of the Polynesian Society 97, 153–183 (1988).",,,,
weisler1993b,,,,,,,,,,kirch1990a,"Kirch, P. V., Hunt, T. L., Nagaoka, L. & Tyler, J. An Ancestral Polynesian occupation site at To’aga, Ofu Island, American Samoa. Archaeology in Oceania 25, 1–15 (1990).",https://doi.org/10.1002/j.1834-4453.1990.tb00225.x,,,
weisler1994a,Characterization of an archaeological quarry and sourcing of local artefacts on the island of Mangaia (Cook Islands),"The Mata'are basalt source (Mangaia, Cook Islands) was characterized using destructive XRF and non destructive ED-XRF, and a set of artefacts from the Tangatatau site were assigned to it.","Weisler, M.I; P.R. Hooper",University of California Berkeley; Washington State University (USA),"Hermann, Aymeric",aymeric.hermann@cnrs.fr,weisler1994a,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",,weisler1994a,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",,weisler1994a,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",
