Data source,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DATA SOURCE,,,,,,,CITATION 1 - DATA,,,CITATION 2 - ARTEFACT,,,CITATION 3 - SITE,,
Dataset ID,Title,Abstract,Authors(s),Institution of the author,Creator,Contact info,Source ID 1,Complete reference 1,DOI 1,Source ID 2,Complete reference 2,DOI 2,Source ID 3,Complete reference 3,DOI 3
Collerson-2007-Science,,,,,,,Collerson-2007-Science,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,McCoy-1977-JPS,"McCoy, P. C. The Mauna Kea Adze Quarry Project: A Summary of the 1975 Field Investigations. Journal of the Polynesian Society 86, 223–244 (1977).",,McCoy-1977-JPS,"McCoy, P. C. The Mauna Kea Adze Quarry Project: A Summary of the 1975 Field Investigations. Journal of the Polynesian Society 86, 223–244 (1977).",
Collerson-2007-Science,,,,,,,Collerson-2007-Science,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,Leach-1987-NZJA,"Leach, H. & Witter, D. Tataga-Matau “rediscovered”. New Zealand Journal of Archaeology 9, 33–54 (1987).",,Leach-1987-NZJA,"Leach, H. & Witter, D. Tataga-Matau “rediscovered”. New Zealand Journal of Archaeology 9, 33–54 (1987).",
Collerson-2007-Science,,,,,,,Collerson-2007-Science,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,Johnson-2011-Tutuila,"Johnson, P. R. Elemental Analysis of Fine-Grained Basalt Sources from the Samoan Island of Tutuila: Applications of Energy Dispersive X-Ray Fluorescence (EDXRF) and Instrumental Neutron Activation Analysis (INAA) Toward an Intra-Island Provenance Study. in X-Ray Fluorescence Spectrometry (XRF) in Geoarchaeology (ed. Shackley, M. S.) 143–160 (Springer New York, 2011). doi:10.1007/978-1-4419-6886-9_7",https://doi.org/10.1007/978-1-4419-6886-9_7,Johnson-2011-Tutuila,"Johnson, P. R. Elemental Analysis of Fine-Grained Basalt Sources from the Samoan Island of Tutuila: Applications of Energy Dispersive X-Ray Fluorescence (EDXRF) and Instrumental Neutron Activation Analysis (INAA) Toward an Intra-Island Provenance Study. in X-Ray Fluorescence Spectrometry (XRF) in Geoarchaeology (ed. Shackley, M. S.) 143–160 (Springer New York, 2011). doi:10.1007/978-1-4419-6886-9_7",https://doi.org/10.1007/978-1-4419-6886-9_7
Collerson-2007-Science,,,,,,,Collerson-2007-Science,"Collerson, K. D. & Weisler, M. I. Stone Adze Compositions and the Extent of Ancient Polynesian Voyaging and Trade. Science 317, 1907–1911 (2007).",https://doi.org/10.1126/science.1147013,Turner-1994-NZJA,"Turner, M. & Bonica, D. Following the Flake Trail: Adze production on the Coromandel East Coast, New Zealand. New Zealand Journal of Archaeology 16, 5–32 (1994).",,Turner-1994-NZJA,"Turner, M. & Bonica, D. Following the Flake Trail: Adze production on the Coromandel East Coast, New Zealand. New Zealand Journal of Archaeology 16, 5–32 (1994).",
Fankhauser-2009-Fiji,"Geochemical characterisation and sourcing of lithic artefacts (adzes and flakes) found in excavations conducted in 1996 and 1997 on Beqa Island, Mago Island and Viti Levu.","Geochemical characterisation and sourcing of lithic artefacts (adzes and flakes) found in excavations conducted in 1996 and 1997 on Beqa Island, Mago Island and Viti Levu. Energy dispersive X-Ray analysis (EDXRF) was used for the major elements and inductively coupled plasma-mass spectrometry (ICP-MS) for the trace elements.","Fankhauser, B., Clark, G., Anderson, A.",The Australian National University (Australia),"Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Frankhauser-2009-Fiji,"Fankhauser, B., Clark, G. & Anderson, A. Characterisation and sourcing of archaeological adzes and flakes from Fiji. in The Early Prehistory of Fiji Terra Australis 31, 373–406 (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009,Frankhauser-2009-Fiji,"Fankhauser, B., Clark, G. & Anderson, A. Characterisation and sourcing of archaeological adzes and flakes from Fiji. in The Early Prehistory of Fiji Terra Australis 31, 373–406 (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009,Clark-2009-Fiji,"The Early Prehistory of Fiji. Terra Australis 31, (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009
Fankhauser-2009-Fiji,,,,,,,Frankhauser-2009-Fiji,"Fankhauser, B., Clark, G. & Anderson, A. Characterisation and sourcing of archaeological adzes and flakes from Fiji. in The Early Prehistory of Fiji Terra Australis 31, 373–406 (ANU Press, 2009).",http://doi.org/10.22459/TA31.12.2009,,,,Clark-2001-Domodomo,"Clark, G. Archaeological and palaeoenvironmental investigations on Yacata Island, northern Lau, Fiji. Domodomo: Fiji Museum Quarterly 13, 29–47 (2001).",
Hermann-2017-JASR,"Sourcing of artefacts from the island of Tupua'i/Tubuai (Austral archipelago, French Polynesia), including from the well-dated site Atiahara.","Comprehensive geochemical analyses of 42 artefacts and 15 archaeological and geological sources on Tupua'i island (Austral archipelago, French Polynesia) using destructive techniques: ICP-AES for major and trace elements, TIMS and MC-ICP-MS for radiogrenic isotopes, Ar-Ar dating for geochronology. The first marquesan artefact in the Austral archipelago is identified.","Hermann A.(1) , Sauzéat L.(2) , Guillou H.(3) , Maury R.C.(4) , Chauvel C.(2), Liorzou C.(4)","1. Université de Polynésie Française (French Polynesia), 2. Université de Grenoble (France), 3. LSCE/IPSL,CEA-CNRS-UVSQ (France), 4. Université de Bretagne Occidentale (France).","Hermann, Aymeric",hermann@shh.mpg.de,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,Hermann-2016-AO,"Hermann, A., Bollt, R. & Conte, E. The Atiahara site revisited: An early coastal settlement in Tubuai (Austral Islands, French Polynesia). Archaeology in Oceania 51, 31–44 (2016).",https://doi.org/10.1002/arco.5070
Hermann-2017-JASR,,,,,,,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,Hermann-2013-Phd,"Hermann, A. Les industries lithiques pré-européennes de Polynésie centrale : savoir-faire et dynamiques techno-économiques. (Université de Polynésie Française, 2013).",,Hermann-2013-Phd,"Hermann, A. Les industries lithiques pré-européennes de Polynésie centrale : savoir-faire et dynamiques techno-économiques. (Université de Polynésie Française, 2013).",
Hermann-2017-JASR,,,,,,,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,,,,Weisler-2016-PNAS,"Weisler, M. I. et al. Cook Island artifact geochemistry demonstrates spatial and temporal extent of pre-European interarchipelago voyaging in East Polynesia. PNAS 113, 8150–8155 (2016).",https://doi.org/10.1073/pnas.1608130113
Hermann-2017-JASR,,,,,,,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,,,,Hermann-2012-Geologue,"Hermann, A., Maury, R. C. & Liorzou, C. Traçabilité des matières premières lithiques dans les assemblages archéologiques polynésiens: le cas de Tubuai (Archipel des Australes, Polynésie française). Géologue 172, 80–83 (2012).",
Hermann-2017-JASR,,,,,,,Hermann-2017-JASR,"Hermann, A. et al. Combined geochemical and geochronological analyses of stone artefacts provide unambiguous evidence of intra- and inter-island interactions in Polynesia. Journal of Archaeological Science: Reports 13, 75–87 (2017).",https://doi.org/10.1016/j.jasrep.2017.03.024,,,,Maury-2000-Tubuai,"Maury, R. C., Guille, G., Guillou, H., Blais, S. & Brousse, R. Notice explicative, feuille Rurutu et Tubuai, Polynésie française. (BRGM, 2000).",
Kahn-2008-NZJA,"ED-XRF analysis of 45 source samples from the Nu‘u basalt quarry (NUU-123) on Maui, Hawai‘i",EDXRF analysis of the Nu‘u quarry (NUU-123) on Mauia Island (Hawai'i),"Jennifer G. Kahn (1), Peter Mills (2), Steve Lundblad (3), John Holson (4), Patrick V. Kirch (5)","1. Bishop Museum (USA), 2. University of Hawai‘i at Hilo (USA), 3. University of Hawai‘i at Hilo (USA), 4. Pacific Legacy Inc. (USA), 5. University of California, Berkeley (USA)","Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Kahn-2008-NZJA,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",,Kahn-2008-NZJA,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",,Kahn-2008-NZJA,"Kahn, J. G., Mills, P. R., Lundblad, S. P., Holson, J. & Kirch, P. V. Tool Production at the Nu’u Quarry, Maui, Hawaiian Islands: Manufacturing Sequences and Energy-Dispersive X-Ray Fluorescence Analyses. New Zealand Journal of Archaeology 30, 135–165 (2009).",
Kahn-2013-JAS,"Geochemical analyses to of artefacts from ’Opunohu Valley, Mo’orea, French Polynesia","EDXRF analysis of a few geological samples and a collection of ’Opunohu Valley lithic artifacts from Mo’orea island to investigate the local scale of raw material procurement, adze production, use, and exchange within the Society Island archipelago.","Jennifer G. Kahn (a), John Sinton (b), Peter R. Mills (c), Steven P. Lundblad (d)","a. College of William and Mary (USA), b. University of Hawai'i, Manoa (USA), c. University of Hawai'i, Hilo (USA), d. University of Hawai'i (USA)","Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Kahn-2013-JAS,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,Kahn-2013-JAS,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,Kahn-2013-JAS,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003
Kahn-2013-JAS,,,,,,,Kahn-2013-JAS,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,,,,Kahn-2015-Monumentality,"Kahn, J. G. & Kirch, P. V. Monumentality and Ritual Materialization in the Society Islands: The Archaeology of a Major Ceremonial Complex in the ’Opunohu Valley, Mo’orea. (Bishop Museum Press, 2015).",
Kahn-2013-JAS,,,,,,,Kahn-2013-JAS,"Kahn, J. G., Sinton, J., Mills, P. R. & Lundblad, S. P. X-ray fluorescence analysis and intra-island exchange in the Society Island archipelago (Central Eastern Polynesia). Journal of Archaeological Science 40, 1194–1202 (2013).",https://doi.org/10.1016/j.jas.2012.10.003,,,,Green-1967-Moorea,"Green, R. C., Green, K., Rappaport, R. A., Rappaport, A. & Davidson, J. M. Archeology on the island of Mo’orea, French Polynesia. (New York, 1967).",
Kirch-2012-PNAS,"Sourcing of basaltic artefacts from Kahikinui valley (Maui island, Hawai'i)","ED-XRF analysis of 328 lithic artifacts from 36 archaeological features in the Kahikinui district, Maui Island. WD-XRF was used characterize certain nonlocal source groups.","Patrick V. Kirch (a), Peter R. Mills (b), Steven P. Lundblad (b), John Sinton (c), and Jennifer G. Kahn (d)","a. University of California, Berkeley (USA); b. University of Hawai‘i at Hilo (USA); c. University of Hawai‘i at Manoa (USA); d. Bishop Museum (USA)","Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Kirch-2012-PNAS,"Kirch, P. V., Mills, P. R., Lundblad, S. P., Sinton, J. & Kahn, J. G. Interpolity exchange of basalt tools facilitated via elite control in Hawaiian archaic states. PNAS 109, 1056–1061 (2012).",https://doi.org/10.1073/pnas.1119009109,Kirch-1997-Kahikinui,"Kirch, P. V. Na mea kahiko no Kahikinui: Studies in the archaeology of Kahikinui, Maui. (University of California, 1997).",,Kirch-1997-Kahikinui,"Kirch, P. V. Na mea kahiko no Kahikinui: Studies in the archaeology of Kahikinui, Maui. (University of California, 1997).",
Kirch-2015-AO,ED-XRF analyses of excavated artefacts from the Gambier Islands,Provenance analysis of adzes from a rock shelter on Agakauitai islet (site AGA-3) and 2 geological samples from Mount Duff on Mangareva island (Gambier group).,"Kirch, P.V. (1), Molle, G. (2), Nickelsen, C. (1), Mills, P. (3), Dotte‐Sarout, E. (4), Swift, J. (1), Wolfe, A. (1), Horrocks, M. (5)","1. University of California, Berkeley (USA); 2. Université de la Polynésie Française (French Polynesia); 3. University of Hawai’I at Hilo (USA); 4. University of Western Australia (USA); 5. Microfossil Research Ltd","Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Kirch-2015-AO,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050,Kirch-2015-AO,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050,Kirch-2015-AO,"Kirch, P. V. et al. Human ecodynamics in the Mangareva Islands: a stratified sequence from Nenega-Iti Rock Shelter (site AGA-3, Agakauitai Island). Archaeology in Oceania 50, 23–42 (2015).",https://doi.org/10.1002/arco.5050
Rolett-2015-JAS,"Geochemical data from the Vitaria Adze Quarry, Rurutu, Austral Islands, and selected artefacts from the Austral Islands",WD-XRF analysis of the Vitaria Quarry raw material and ethnographic adzes collected on Raivavae,"Rolett, B.V. (a), West, E.W. (b), Sinton, J.M. (c), Iovita, R. (d)","a. University of Hawai'i at Manoa (USA); b. Naval Facilities Engineering Command Pacific, Pearl Harbor (USA); c. University of Hawai'i at Manoa (USA); d. MONREPOS (Germany)","Hermann, Aymeric; McAlister, Andrew",hermann@shh.mpg.de; andrew.mcalister@auckland.ac.nz,Rolett-2015-JAS,"Rolett, B. V., West, E. W., Sinton, J. M. & Iovita, R. Ancient East Polynesian voyaging spheres: new evidence from the Vitaria Adze Quarry (Rurutu, Austral Islands). Journal of Archaeological Science 53, 459–471 (2015).",https://doi.org/10.1016/j.jas.2014.10.018,Rolett-2015-JAS,"Rolett, B. V., West, E. W., Sinton, J. M. & Iovita, R. Ancient East Polynesian voyaging spheres: new evidence from the Vitaria Adze Quarry (Rurutu, Austral Islands). Journal of Archaeological Science 53, 459–471 (2015).",https://doi.org/10.1016/j.jas.2014.10.018,,,
Sheppard-1997-Cook,Characterization of archaeological quarries and sourcing of artefacts in the Cook islands.,Major and trace element compositions are used to source artefacts to sources in the Cook islands.,"Sheppard P.J., Walter R., Parker R.J.",University of Auckland (New Zealand),"Hermann, Aymeric",hermann@shh.mpg.de,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",
Sheppard-1997-Cook,,,,,,,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Walter-1990-PhD,"Walter, R. The Southern Cook Islands in Eastern Polynesian prehistory. (University of Auckland, 1990).",,Walter-1990-PhD,"Walter, R. The Southern Cook Islands in Eastern Polynesian prehistory. (University of Auckland, 1990).",
Sheppard-1997-Cook,,,,,,,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Walter-1998-Anaio,"Walter, R. Anai’o: The Archaeology of a Fourteenth Century Polynesian Community in the Cook Islands. (New Zealand Archaeological Association, 1998).",,Walter-1998-Anaio,"Walter, R. Anai’o: The Archaeology of a Fourteenth Century Polynesian Community in the Cook Islands. (New Zealand Archaeological Association, 1998).",
Sheppard-1997-Cook,,,,,,,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Weisler-1994-JPS,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",,Weisler-1994-JPS,"Weisler, M. I., Kirch, P. V. & Endicott, J. M. The Mata’are basalt source: Implications for prehistoric interaction studies in the Cook Islands. Journal of the Polynesian Society 103, 203–216 (1994).",
Sheppard-1997-Cook,,,,,,,Sheppard-1997-Cook,"Sheppard, P. J., Walter, R. K. & Parker, R. J. Basalt sourcing and the development of Cook Islands exchange systems. in Prehistoric long-distance interaction in Oceania: an interdisciplinary approach (ed. Weisler, M. I.) 85–110 (New Zealand Archaeological Association, 1997).",,Bellwood-1978-Cook,"Bellwood, P. Archaeological Research in the Cook Islands. (B.P. Bishop Museum, 1978).",,Bellwood-1978-Cook,"Bellwood, P. Archaeological Research in the Cook Islands. (B.P. Bishop Museum, 1978).",
